US Electronic Short Form Leads
NAUT8002439827201601021713ELED00000100000071953479CUS-20594695               dseesf14aBMT
NAUT8002439827201601021714ELED00000100000017044717CUS-20594700               dseesf14aBMT
NAUT8002439827201601021714ELED00000100000033801863CUS-20594703               dseesf14aBMT
NAUT8002439827201601021715ELED00000100000032780321CUS-20594707               dseesf14aBMT
NAUT8002439827201601021715ELED00000100000053214414CUS-20594711               dseesf14aBMT
NAUT8002439827201601021715ELED00000100000093546760CUS-20594708               dseesf14aBMT
NAUT8002439827201601021716ELED00000100000015210412CUS-20594718               dseesf14aBMT
NAUT8002439827201601021716ELED00000100000066434785CUS-20594715               dseesf14aBMT
NAUT8002439827201601021717ELED00000100000046123317CUS-20594725               dseesf14aBMT
NAUT8002439827201601021717ELED00000100000048219734CUS-20594720               dseesf14aBMT
NAUT8002439827201601021717ELED00000100000060607630CUS-20594719               dseesf14aBMT
NAUT8002439827201601021718ELED00000100000013063607CUS-20594729               dseesf14aBMT
NAUT8002439827201601021718ELED00000100000040356859CUS-20594731               dseesf14aBMT
NAUT8002439827201601021718ELED00000100000064134816CUS-20594728               dseesf14aBMT
NAUT8002439827201601021719ELED00000100000010941845CUS-20594733               dseesf14aBMT
NAUT8002439827201601021719ELED00000100000011756516CUS-20594734               dseesf14aBMT
NAUT8002439827201601021720ELED00000100000004005207CUS-20594737               dseesf14aBMT
NAUT8002439827201601021720ELED00000100000031525239CUS-20594742               dseesf14aBMT
NAUT8002439827201601021720ELED00000100000033604727CUS-20594743               dseesf14aBMT
NAUT8002439827201601021721ELED00000100000044485304CUS-20594747               dseesf14aBMT
NAUT8002439827201601021734ELED00000100000007652201CUS-20594792               dseesf14aBMT
NAUT8002439827201601021735ELED00000100000032735352CUS-20594797               dseesf14aBMT
NAUT8002439827201601021735ELED00000100000032807904CUS-20594804               dseesf14aBMT
NAUT8002439827201601021736ELED00000100000001757508CUS-20594812               dseesf14aBMT
NAUT8002439827201601021736ELED00000100000060452361CUS-20594808               dseesf14aBMT
NAUT8002439827201601021736ELED00000100000091791CUS-20594811               dseesf14aBMT
NAUT8002439827201601021737ELED00000100000060804312CUS-20594820               dseesf14aBMT
NAUT8002439827201601021738ELED00000100000015210CUS-20594835               dseesf14aBMT
NAUT8002439827201601021738ELED00000100000019146215CUS-20594833               dseesf14aBMT
NAUT8002439827201601021738ELED00000100000076108CUS-20594832               dseesf14aBMT
NAUT8002439827201601021739ELED00000100000006106860CUS-20594852               dseesf14aBMT
NAUT8002439827201601021739ELED00000100000060607630CUS-20594848               dseesf14aBMT
NAUT8002439827201601021740ELED00000100000037072615CUS-20594856               dseesf14aBMT
NAUT8002439827201601021741ELED00000100000010044646CUS-20594866               dseesf14aBMT
NAUT8002439827201601021741ELED00000100000019040215CUS-20594875               dseesf14aBMT
NAUT8002439827201601021742ELED00000100000044471330CUS-20594877               dseesf14aBMT
NAUT8002439827201601021744ELED00000100000014206716CUS-20594898               dseesf14aBMT
NAUT8002439827201601021747ELED00000100000075229214CUS-20594931               dseesf14aBMT
NAUT8002439827201601021749ELED00000100000049022296CUS-20594950               dseesf14aBMT
NAUT8002439827201601021809ELED00000100000060607630CUS-20595022               dseesf14aBMT
NAUT8002439827201601021817ELED00000100000084074435CUS-19159955               SAWDSEESF14ABMT
NAUT8002439827201601021823ELED00000100000049022296CUS-20595117               dseesf14aBMT
NAUT8002439827201601021826ELED00000100000044240330CUS-20595148               dseesf14aBMT
NAUT8002439827201601021828ELED00000100000025053606CUS-20595163               dseesf14aBMT
NAUT8002439827201601021829ELED00000100000033873863CUS-20595172               dseesf14aBMT
NAUT8002439827201601021830ELED00000100000092284760CUS-20595184               dseesf14aBMT
NAUT8002439827201601021851ELED00000100000020024202CUS-20595334               dseesf14aBMT
NAUT8002439827201601021906ELED00000100000046037CUS-20595428               dseesf14aBMT
NAUT8002439827201601021907ELED00000100000028114828CUS-20595432               dseesf14aBMT
NAUT8002439827201601021908ELED00000100000020772443CUS-20595444               dseesf14aBMT
NAUT8002439827201601021909ELED00000100000017810570CUS-20595455               dseesf14aBMT
NAUT8002439827201601021909ELED00000100000055912507CUS-20595453               dseesf14aBMT
NAUT8002439827201601021910ELED00000100000017520CUS-20595461               dseesf14aBMT
NAUT8002439827201601021910ELED00000100000046037317CUS-20595460               dseesf14aBMT
NAUT8002439827201601021910ELED00000100000048082586CUS-20595457               dseesf14aBMT
NAUT8002439827201601021911ELED00000100000027893252CUS-20595463               dseesf14aBMT
NAUT8002439827201601021912ELED00000100000046241317CUS-20595476               dseesf14aBMT
NAUT8002439827201601021912ELED00000100000077073713CUS-20595472               dseesf14aBMT
NAUT8002439827201601021913ELED00000100000015235412CUS-20595481               dseesf14aBMT
