US Short Form Leads
NAUT8004716104201601312245LEAD00000100000073003405CUS-4859127               OWN*N180JACKDTICBMT
NAUT8004792965201601310623LEAD00000100000021783240CUS-20681836               IFC*N120J14FSTICBMT
NAUT8004792965201601310930LEAD00000100000048865616CUS-20682344               IFC*N120J14FSTICBMT
NAUT8004792965201601310932LEAD00000100000033068786CUS-20682347               IFC*N120J14FSTICBMT
NAUT8004792965201601311217LEAD00000100000011967631CUS-20683033               IFC*N120J14FSTICBMT
NAUT8004792965201601311217LEAD00000100000011967631CUS-20683033               IFC*N120J14FSTICTRC
NAUT8004792965201601311218LEAD00000100000018966215CUS-20683043               IFC*N120J14FSTICBMT
NAUT8005069231201601310701LEAD00000100000070501337CUS-20681906               SUNDN120J14FSTICBMT
NAUT8005069231201601310703LEAD00000100000019605484CUS-20681923               SUNDN120J14FSTICBMT
NAUT8005069231201601310955LEAD00000100000092399909CUS-11483850               SUNDN120J14FSTICBMT
NAUT8005069231201601310956LEAD00000100000075052903CUS-20682459               SUNDN120J14FSTICBMT
NAUT8005069231201601311145LEAD00000100000044111216CUS-20682921               SUNDN120J14FSTICBMT
NAUT8005069231201601311256LEAD00000100000098030253CUS-20683181               SUNDN120J14FSTICBMT
NAUT8005069231201601311305LEAD00000100000089403775CUS-20683215               SUNDN120J14FSTICBMT
NAUT8005069231201601311652LEAD00000100000030122404CUS-20684017               SUNDN120J14FSTICBMT
NAUT8005069231201601311652LEAD00000100000033414631CUS-20684023               SUNDN120J14FSTICBMT
NAUT8005069231201601311653LEAD00000100000029150803CUS-20684027               SUNDN120J14FSTICBMT
NAUT8005098626201601311405LEAD00000100000030705706CUS-20683386               SPKEN120J14FSTICBMT
NAUT8005106032201601310806LEAD00000100000077497281CUS-19764810               INSPN120HKINGTICTRC
NAUT8005106032201601311554LEAD00000100000026101304CUS-20683742               INSPN120HKINGTICTRC
NAUT8005106032201601311556LEAD00000100000070769225CUS-20683749               INSPN120HKINGTICTRC
NAUT8005106032201601311557LEAD00000100000001605508CUS-20683764               INSPN120HKINGTICTRC
NAUT8005106032201601311637LEAD00000100000038125901CUS-2070027               INSPN120HKINGTICTRC
NAUT8005106032201601311637LEAD00000100000092336909CUS-20683942               INSPN120HKINGTICTRC
NAUT8005106032201601311735LEAD00000100000070802225CUS-6405512               INSPN120HKINGTICTRC
NAUT8005106032201601312336LEAD00000100000070791225CUS-20684835               INSPN120HKINGTICTRC
NAUT8005259671201601311423LEAD00000100000035611256CUS-20683440               METVN120HKINGTICTRC
NAUT8005259671201601311424LEAD00000100000028341910CUS-20683441               METVN120HKINGTICTRC
NAUT8005259671201601311425LEAD00000100000043616CUS-20683444               METVN120HKINGTICTRC
NAUT8005259671201601311426LEAD00000100000029690864CUS-20683443               METVN120HKINGTICTRC
NAUT8005259671201601311426LEAD00000100000054880218CUS-20683446               METVN120HKINGTICTRC
NAUT8005259671201601311427LEAD00000100000039428601CUS-20683449               METVN120HKINGTICTRC
NAUT8005259671201601311428LEAD00000100000053121708CUS-20683448               METVN120HKINGTICTRC
NAUT8005259671201601311539LEAD00000100000039455601CUS-20683668               METVN120HKINGTICTRC
NAUT8005259671201601311540LEAD00000100000076520254CUS-20683671               METVN120HKINGTICTRC
NAUT8005259671201601311542LEAD00000100000037920865CUS-20683681               METVN120HKINGTICTRC
NAUT8005259671201601311542LEAD00000100000060131847CUS-20683680               METVN120HKINGTICTRC
NAUT8005259671201601311543LEAD00000100000020770570CUS-20683675               METVN120HKINGTICTRC
NAUT8005259671201601311545LEAD00000100000010314347CUS-20683696               METVN120HKINGTICTRC
NAUT8005259671201601311725LEAD00000100000089031702CUS-20684152               METVN120HKINGTICTRC
NAUT8005259920201601310701LEAD00000100000019131347CUS-20681905               QUBON120HKINGTICTRC
NAUT8005259920201601310944LEAD00000100000090059213CUS-20682392               QUBON120HKINGTICTRC
NAUT8005431397201601310240LEAD00000100000022664540CUS-20681743               ODORN120J14FSTICBMT
NAUT8005431397201601310534LEAD00000100000019146267CUS-20681785               ODORN120J14FSTICBMT
NAUT8005431397201601310821LEAD00000100000095688707CUS-20682092               ODORN120J14FSTICBMT
NAUT8005431397201601311219LEAD00000100000077378713CUS-20683046               ODORN120J14FSTICBMT
NAUT8005446717201601311009LEAD00000100000027521910CUS-20682512               EREYN120J14FSTICBMT
NAUT8005692370201601310635LEAD00000100000021871410CUS-20681848               HIS2N180JACFSTICBMT
NAUT8005692370201601310635LEAD00000100000047904765CUS-20681849               HIS2N180JACFSTICBMT
NAUT8005692370201601310803LEAD00000100000008094856CUS-20681979               HIS2N180JACFSTICBMT
NAUT8005692370201601310804LEAD00000100000060040847CUS-20681983               HIS2N180JACFSTICBMT
NAUT8005923486201601311003LEAD00000100000020118540CUS-20682493               DTVSN60*J14FSTICBMT
NAUT8005923486201601311132LEAD00000100000091354614CUS-20682864               DTVSN60*J14FSTICBMT
NAUT8005923486201601311135LEAD00000100000078412361CUS-20682880               DTVSN60*J14FSTICBMT
NAUT8006516583201601310856LEAD00000100000035565205CUS-20682229               DISNN60*J14FSTICBMT
NAUT8006516583201601310856LEAD00000100000043119614CUS-20682231               DISNN60*J14FSTICBMT
NAUT8006516583201601310902LEAD00000100000067467785CUS-20682260               DISNN60*J14FSTICBMT
NAUT8006912218201601311321LEAD00000100000035244205CUS-449570               ALIFL60*HKINGTICTRC
NAUT8006912218201601311654LEAD00000100000045224937CUS-20684030               ALIFL60*HKINGTICTRC
NAUT8006950244201601311324LEAD00000100000072204501CUS-20683268               ACNNL60*HKINGTICTRC
NAUT8007050822201601310956LEAD00000100000018403570CUS-20682458               AHALL60*HKINGTICTRC
NAUT8007050822201601311529LEAD00000100000095403707CUS-20683640               AHALL60*HKINGTICTRC
NAUT8007173430201601311516LEAD00000100000075755903CUS-20683604               HMM*N180HKINGTICTRC
NAUT8007173430201601311516LEAD00000100000077084832CUS-20683601               HMM*N180HKINGTICTRC
NAUT8007173430201601311517LEAD00000100000023103804CUS-20683605               HMM*N180HKINGTICTRC
NAUT8007173430201601311517LEAD00000100000026234304CUS-20683607               HMM*N180HKINGTICTRC
NAUT8007173430201601311517LEAD00000100000046033702CUS-20683602               HMM*N180HKINGTICTRC
NAUT8007173430201601311517LEAD00000100000063139314CUS-20683603               HMM*N180HKINGTICTRC
NAUT8007173430201601311518LEAD00000100000015660724CUS-20683609               HMM*N180HKINGTICTRC
NAUT8007173430201601311518LEAD00000100000044633330CUS-20683611               HMM*N180HKINGTICTRC
NAUT8007173430201601311519LEAD00000100000030458912CUS-20683614               HMM*N180HKINGTICTRC
NAUT8007173430201601311519LEAD00000100000057062605CUS-20683606               HMM*N180HKINGTICTRC
NAUT8007173430201601311521LEAD00000100000038635662CUS-20683620               HMM*N180HKINGTICTRC
NAUT8007173430201601311521LEAD00000100000075662903CUS-20683621               HMM*N180HKINGTICTRC
NAUT8007173430201601311523LEAD00000100000029651864CUS-20683619               HMM*N180HKINGTICTRC
NAUT8007173430201601311530LEAD00000100000041666606CUS-20683641               HMM*N180HKINGTICTRC
NAUT8007173430201601311532LEAD00000100000029456603CUS-20683639               HMM*N180HKINGTICTRC
NAUT8007173430201601311550LEAD00000100000075137972CUS-20683686               HMM*N180HKINGTICTRC
NAUT8007173430201601311637LEAD00000100000029526732CUS-20683948               HMM*N180HKINGTICTRC
NAUT8007173430201601311640LEAD00000100000041810606CUS-20683959               HMM*N180HKINGTICTRC
NAUT8007173430201601312342LEAD00000100000031501912CUS-20684838               HMM*N180HKINGTICTRC
NAUT8007173430201601312343LEAD00000100000036027731CUS-20684839               HMM*N180HKINGTICTRC
NAUT8007173430201601312345LEAD00000100000015644724CUS-20684843               HMM*N180HKINGTICTRC
NAUT8007173430201601312345LEAD00000100000076179904CUS-20684842               HMM*N180HKINGTICTRC
NAUT8007173440201601311237LEAD00000100000044905419CUS-20683107               CLOON180HKINGTICTRC
NAUT8007173440201601311242LEAD00000100000083352208CUS-20683129               CLOON180HKINGTICTRC
NAUT8007173440201601311543LEAD00000100000038108901CUS-10181996               CLOON180HKINGTICTRC
NAUT8007173440201601311545LEAD00000100000096825808CUS-20683697               CLOON180HKINGTICTRC
NAUT8007173440201601311547LEAD00000100000014701716CUS-20683694               CLOON180HKINGTICTRC
NAUT8007173440201601311649LEAD00000100000091331818CUS-20684004               CLOON180HKINGTICTRC
NAUT8007173440201601311838LEAD00000100000098685360CUS-20684373               CLOON180HKINGTICTRC
NAUT8007173460201601311949LEAD00000100000072176501CUS-19572780               INSPN180HKINGTICTRC
NAUT8007173460201601311952LEAD00000100000030296973CUS-20684595               INSPN180HKINGTICTRC
NAUT8007173460201601311954LEAD00000100000039366601CUS-20684597               INSPN180HKINGTICTRC
NAUT8007173460201601311955LEAD00000100000049120269CUS-20684601               INSPN180HKINGTICTRC
NAUT8008502032201601311552LEAD00000100000021133410CUS-20683734               GMASN60*JACKDTICBMT
NAUT8008597369201601311626LEAD00000100000093723559CUS-20683895               HISTN60*J14FSTICBMT
NAUT8008597369201601311639LEAD00000100000045373937CUS-20683955               HISTN60*J14FSTICBMT
NAUT8008992363201601311118LEAD00000100000004971207CUS-20682796               HMM*N120HKINGTICTRC
NAUT8008992363201601311119LEAD00000100000029118803CUS-20682805               HMM*N120HKINGTICTRC
NAUT8008992363201601311119LEAD000001000000816CUS-20682799               HMM*N120HKINGTICTRC
NAUT8008992363201601311120LEAD00000100000024701304CUS-20682810               HMM*N120HKINGTICTRC
NAUT8008992363201601311121LEAD00000100000076385940CUS-20682819               HMM*N120HKINGTICTRC
NAUT8008992363201601311121LEAD00000100000086033928CUS-20682820               HMM*N120HKINGTICTRC
NAUT8008992363201601312238LEAD00000100000029055803CUS-20684800               HMM*N120HKINGTICTRC
NAUT8008992363201601312247LEAD00000100000034982772CUS-2784627               HMM*N120HKINGTICTRC
NAUT8009213028201601311142LEAD00000100000017073610CUS-20682906               M617P60*NOTSTTICBMT
NAUT8009272229201601310734LEAD00000100000015320724CUS-20681966               ION*N120HKINGTICTRC
NAUT8009272229201601310734LEAD00000100000048211313CUS-20681967               ION*N120HKINGTICTRC
NAUT8009272229201601310736LEAD00000100000076059817CUS-20681968               ION*N120HKINGTICTRC
NAUT8009272229201601310737LEAD00000100000036695251CUS-20681969               ION*N120HKINGTICTRC
