US Short Form Leads
NAUT8004809199201407211444LEAD00000100000070775225CUS-19613523               SUNDN120BFMAXTICBMT
NAUT8004809199201407211758LEAD00000100000063113314CUS-19613902               SUNDN120BFMAXTICBMT
NAUT8004809199201407212256LEAD00000100000075951409CUS-19614503               SUNDN120BFMAXTICBMT
NAUT8004809199201407212257LEAD00000100000057551605CUS-19614505               SUNDN120BFMAXTICBMT
NAUT8004960411201407210803LEAD00000100000067037316CUS-19570532               CMT*N120BFMAXTICBMT
NAUT8004960411201407210824LEAD00000100000073016405CUS-19612818               CMT*N120BFMAXTICBMT
NAUT8004960411201407211019LEAD00000100000037412423CUS-19613041               CMT*N120BFMAXTICBMT
NAUT8004960411201407211019LEAD00000100000041005859CUS-8940713               CMT*N120BFMAXTICBMT
NAUT8004960411201407211019LEAD00000100000068418407CUS-19613038               CMT*N120BFMAXTICBMT
NAUT8004969798201407210707LEAD00000100000076463254CUS-19612680               SPKEN120BFMAXTICBMT
NAUT8004969798201407210731LEAD00000100000017948267CUS-19612717               SPKEN120BFMAXTICBMT
NAUT8004969798201407210741LEAD00000100000028529252CUS-19612731               SPKEN120BFMAXTICBMT
NAUT8004969798201407210818LEAD00000100000049442231CUS-19612803               SPKEN120BFMAXTICBMT
NAUT8004969798201407210833LEAD00000100000053704608CUS-19612833               SPKEN120BFMAXTICBMT
NAUT8004969798201407210954LEAD00000100000075701903CUS-19612985               SPKEN120BFMAXTICBMT
NAUT8004969798201407211152LEAD00000100000027707919CUS-19613217               SPKEN120BFMAXTICBMT
NAUT8004969798201407211200LEAD00000100000027888252CUS-19613231               SPKEN120BFMAXTICBMT
NAUT8004969798201407211201LEAD00000100000075401903CUS-19613237               SPKEN120BFMAXTICBMT
NAUT8004969798201407211202LEAD00000100000053208414CUS-19613239               SPKEN120BFMAXTICBMT
NAUT8004969798201407211203LEAD00000100000093307661CUS-6304744               SPKEN120BFMAXTICBMT
NAUT8004969798201407211203LEAD00000100000095932530CUS-19613244               SPKEN120BFMAXTICBMT
NAUT8004969798201407211204LEAD00000100000028334910CUS-19613246               SPKEN120BFMAXTICBMT
NAUT8004969798201407211205LEAD00000100000000957787CUS-19613243               SPKEN120BFMAXTICBMT
NAUT8004969798201407211208LEAD00000100000023233CUS-19613242               SPKEN120BFMAXTICBMT
NAUT8004969798201407211248LEAD00000100000007712732CUS-1618318               SPKEN120BFMAXTICBMT
NAUT8004969798201407211336LEAD00000100000001420978CUS-19613432               SPKEN120BFMAXTICBMT
NAUT8004969798201407211501LEAD00000100000099705907CUS-19613554               SPKEN120BFMAXTICBMT
NAUT8004969798201407212252LEAD00000100000010956914CUS-19614494               SPKEN120BFMAXTICBMT
NAUT8004969798201407212333LEAD00000100000017602717CUS-19614551               SPKEN120BFMAXTICBMT
NAUT8005050396201407211438LEAD00000100000006615203CUS-19613508               PALLN120BFMAXTICBMT
NAUT8005069231201407210956LEAD00000100000053546608CUS-19612989               VEL*N120BFMAXTICBMT
NAUT8005248457201407211241LEAD00000100000078154210CUS-19613326               HIS2N180GRT2HTICTRC
NAUT8005248457201407211242LEAD00000100000065631417CUS-19613328               HIS2N180GRT2HTICTRC
NAUT8005248457201407211243LEAD00000100000034203941CUS-9366721               HIS2N180GRT2HTICTRC
NAUT8005276922201407211854LEAD00000100000046312219CUS-19614025               VH1*L60*GRT2HTICTRC
NAUT8005276922201407211949LEAD00000100000021215410CUS-19614138               VH1*L60*GRT2HTICTRC
NAUT8005276922201407211950LEAD00000100000060543312CUS-19614140               VH1*L60*GRT2HTICTRC
NAUT8006325419201407211012LEAD00000100000065473804CUS-19613025               BIO*N120LETTXTICTRC
NAUT8006484839201407210633LEAD00000100000021244540CUS-19612633               ESQ*N120GENTSTICTRC
NAUT8006484839201407210633LEAD00000100000033567813CUS-19612635               ESQ*N120GENTSTICTRC
NAUT8006484839201407210634LEAD00000100000088008915CUS-19612636               ESQ*N120GENTSTICTRC
NAUT8006484839201407210635LEAD00000100000020019202CUS-19612637               ESQ*N120GENTSTICTRC
NAUT8006484839201407210647LEAD00000100000043123614CUS-19612654               ESQ*N120GENTSTICTRC
NAUT8006484839201407212257LEAD00000100000088310575CUS-19614504               ESQ*N120GENTSTICTRC
NAUT8006484839201407212258LEAD00000100000087323505CUS-19614508               ESQ*N120GENTSTICTRC
NAUT8006484839201407212258LEAD00000100000093247559CUS-19614507               ESQ*N120GENTSTICTRC
NAUT8006533024201407210929LEAD00000100000077205251CUS-19612934               SPKEN120GENTSTICTRC
NAUT8006533024201407210932LEAD00000100000053095262CUS-19612938               SPKEN120GENTSTICTRC
NAUT8006533024201407210942LEAD00000100000038261731CUS-19612962               SPKEN120GENTSTICTRC
NAUT8006533024201407211230LEAD00000100000089447775CUS-19613300               SPKEN120GENTSTICTRC
NAUT8006849501201407210751LEAD00000100000071846870CUS-19612750               INSPN120BOOMRTICTRC
NAUT8006849501201407210854LEAD00000100000036303334CUS-19612868               INSPN120BOOMRTICTRC
NAUT8006849501201407210904LEAD00000100000050023515CUS-19612886               INSPN120BOOMRTICTRC
NAUT8006849501201407211030LEAD00000100000055122651CUS-19613064               INSPN120BOOMRTICTRC
NAUT8006849501201407211912LEAD00000100000085301623CUS-19614056               INSPN120BOOMRTICTRC
NAUT8006849501201407211913LEAD00000100000033711727CUS-19614062               INSPN120BOOMRTICTRC
NAUT8006849501201407211913LEAD00000100000086445702CUS-19614065               INSPN120BOOMRTICTRC
NAUT8006849501201407211914LEAD00000100000007928973CUS-19614064               INSPN120BOOMRTICTRC
NAUT8006849501201407211916LEAD00000100000077086NSPCUS-19614075               INSPN120BOOMRTICTRC
NAUT8006849501201407211926LEAD00000100000023455757CUS-19614089               INSPN120BOOMRTICTRC
NAUT8007835119201407210612LEAD00000100000095301209CUS-19612616               CMGCP60*GRT2HWSTTRC
NAUT8008045915201407210845LEAD00000100000078228210CUS-19612859               CSI*N120GRT2HTICTRC
NAUT8008045915201407211142LEAD00000100000037343423CUS-19613198               CSI*N120GRT2HTICTRC
NAUT8008711024201407210154LEAD00000100000045177937CUS-19612558               TNT*N60*GRT2HTICTRC
NAUT8008711024201407210313LEAD00000100000031404912CUS-19612571               TNT*N60*GRT2HTICTRC
NAUT8008711024201407210624LEAD00000100000033761787CUS-19612628               TNT*N60*GRT2HTICTRC
NAUT8008711024201407210624LEAD00000100000078465361CUS-19612624               TNT*N60*GRT2HTICTRC
