US Electronic Short Form Leads
NAUT8004018947201411301603ELED00000100000040213502CUS-19842845               dsetsf11aTRC
NAUT8004018947201411301606ELED00000100000010018917CUS-19842861               dsetsf11aTRC
NAUT8004018947201411301620ELED00000100000060827312CUS-19842905               dsetsf11aTRC
NAUT8004018947201411301703ELED00000100000090805562CUS-19843072               dsetsf11aTRC
NAUT8004018947201411301812ELED00000100000078504956CUS-19843248               dsetsf11aTRC
NAUT8004018947201411301833ELED00000100000029505843CUS-19843424               dsetsf11aTRC
NAUT8004018947201411301834ELED00000100000030043678CUS-19843425               dsetsf11aTRC
NAUT8004018947201411301858ELED00000100000064145573CUS-19843508               dsetsf11aTRC
NAUT8004019174201411301306ELED00000100000084713435CUS-19842083               dsetsf11cTRC
NAUT8004368368201411300758ELED00000100000085648520CUS-19840882               DSETDIRTRC
NAUT8004368368201411300759ELED00000100000021046410CUS-19840884               DSETDIRTRC
NAUT8004368368201411300759ELED00000100000033549813CUS-19840885               DSETDIRTRC
NAUT8004368368201411300759ELED00000100000075654903CUS-19840886               DSETDIRTRC
NAUT8004368368201411300759ELED00000100000080018720CUS-19840888               DSETDIRTRC
NAUT8004368368201411300800ELED00000100000045424937CUS-19840892               DSETDIRTRC
NAUT8004368368201411300800ELED00000100000052101563CUS-19840891               DSETDIRTRC
NAUT8004368368201411300801ELED00000100000027863919CUS-19840896               DSETDIRTRC
NAUT8004368368201411300801ELED00000100000030281678CUS-19840897               DSETDIRTRC
NAUT8004368368201411300801ELED00000100000070525337CUS-19840893               DSETDIRTRC
NAUT8004368368201411300807ELED00000100000077055713CUS-19840917               DSETDIRTRC
NAUT8004368368201411300808ELED00000100000017061717CUS-19840922               DSETDIRTRC
NAUT8004368368201411300809ELED00000100000033157786CUS-19840927               DSETDIRTRC
NAUT8004368368201411300810ELED00000100000006360860CUS-19840932               DSETDIRTRC
NAUT8004368368201411300810ELED00000100000036609251CUS-19840929               DSETDIRTRC
NAUT8004368368201411300810ELED00000100000075701610CUS-19840928               DSETDIRTRC
NAUT8004368368201411300811ELED00000100000077061337CUS-19840933               DSETDIRTRC
NAUT8004368368201411300815ELED00000100000049221517CUS-19840948               DSETDIRTRC
NAUT8004368368201411300816ELED00000100000062207618CUS-19840950               DSETDIRTRC
NAUT8004368368201411300856ELED00000100000077075CUS-19841084               DSETDIRTRC
NAUT8004368368201411300902ELED00000100000044306330CUS-19841105               DSETDIRTRC
NAUT8004368368201411300903ELED00000100000036110334CUS-19841109               DSETDIRTRC
NAUT8004368368201411300903ELED00000100000036856706CUS-19841110               DSETDIRTRC
NAUT8004368368201411300903ELED00000100000078104361CUS-19841111               DSETDIRTRC
NAUT8004368368201411300904ELED00000100000023666757CUS-19841116               DSETDIRTRC
NAUT8004368368201411300904ELED00000100000033183305CUS-19841115               DSETDIRTRC
NAUT8004368368201411300904ELED00000100000046614574CUS-19841114               DSETDIRTRC
